Encoding = UTF-8
*GTD.Keywords

 keyword                                         ; item                    ; domain   ; filter ; pattern                                                                           ; fname_is ; lname_is ; global_pattern
 Get License Plate    city=Hambach               ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^(EMS|DIZ|GOH)\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                       ;          ;          ; ^.+$
 Get License Plate    city=Wuppertal             ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^W\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                                   ;          ;          ; ^.+$
 Get License Plate    city=Berlin                ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^B\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                                   ;          ;          ; ^.+$
 Get License Plate    state=Berlin               ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^B\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                                   ;          ;          ; ^.+$
 Get License Plate    state=DE-BE                ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^B\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                                   ;          ;          ; ^.+$
 Get License Plate    city=Bremen                ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^HB\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                                  ;          ;          ; ^.+$
 Get License Plate    city=Bremerhaven           ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^HB\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                                  ;          ;          ; ^.+$
 Get License Plate    state=Bremen               ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^HB\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                                  ;          ;          ; ^.+$
 Get License Plate    state=DE-HB                ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^HB\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                                  ;          ;          ; ^.+$
 Get License Plate    city=Budenheim             ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^(MZ|BIN)\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                            ;          ;          ; ^.+$
 Get License Plate    state=Thuringia            ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^[A-ZÄÖÜ]{1,3}\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                       ;          ;          ; ^.+$
 Get License Plate    state=Bavaria              ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^[A-ZÄÖÜ]{1,3}\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                       ;          ;          ; ^.+$
 Get License Plate    state=Saxony               ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^[A-ZÄÖÜ]{1,3}\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                       ;          ;          ; ^.+$
 Get License Plate    city=Stolpe    state=DE-SH ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^PLÖ\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                                 ;          ;          ; ^.+$
 Get License Plate                               ; traffic.license_plate   ; unused   ; false  ; (?=.{5,10}$)^[A-ZÄÖÜ]{1,3}\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                     ;          ;          ; ^.+$
 Get Bank                                        ; finance.bank_name       ; finance  ; false  ; ^.+$                                                                              ;          ;          ; ^.*$
 Get Bic                                         ; finance.bank_bic        ; finance  ; false  ; ^[A-Z0-9]{4}DE([01][A-NP-Z]|[A-Z2-9][A-NP-Z0-9])([X]{3}|[A-WYZ0-9][A-Z0-9]{2})?$  ;          ;          ; ^[A-Z0-9]{8,11}$
 Get Iban                                        ; finance.bank_iban       ; finance  ; false  ; ^DE[0-9]{20}                                                                      ;          ;          ; ^[A-Z]{2}[0-9]{2}[A-Z0-9]{1,30}$
