Encoding = UTF-8
*GTD.GherkinItems_de

 domain   ; item                    ; context ; keyword                     ; item_data ; exp_type ; expected_term ; expected_stored_items ; preset_keys  ; preset_json ; localization
 address  ; address.country         ;  false  ; Get Country                 ;        {} ;   regex  ; ^\S.+$ ; {} ; None ; {} ; de_DE
 address  ; address.country         ;  true   ; Get Country                 ;        {} ;   regex  ; ^Deutschland$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#retval", "address.country_code":"DE", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"#stored", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.country         ;  true   ; Get Country                 ;        {} ;   regex  ; ^Deutschland$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"Bad Wildbad", "address.country":"#retval", "address.country_code":"DE", "address.house_number":"#stored", "address.postcode":"75323", "address.postcode_city":"75323 Bad Wildbad", "address.state":"Baden-Württemberg", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"08235079"} ; location.ags ; {"location.ags":"08235079"} ; de_DE
 address  ; address.country_code    ;  false  ; Get Country Code            ;        {} ;   regex  ; ^(A[DEFGLMORTUZ])|(B[ABDEFGHIJNORSTWYZ])|(C[ADFGHILMNORUVYZ])|(D[EJKMOZ])|(E[CEGRST])|(F[IJMR])|(G[ABDEHMNQRTWY])|(H[NRTU])|(I[DELNQRST])|(J[MOP])|(K[EGHIMNPRWZ])|(L[ABCIKRSTUVY])|(M[ACDEGHKLMNRTUVWXYZ])|(N[AEGILOPRZ])|(OM)|(P[AEGHKLTWY])|(QA)|(R[OSUW])|(S[ABCDEGIKLMNORSTVYZ])|(T[DGHJLMNORTVZ])|(U[AGSYZ])|(V[CENU])|(WS)|(YE)|(Z[AMW])$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"#retval", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"#stored", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.country_code    ;  true   ; Get Country Code            ;        {} ;   regex  ; ^DE$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"#retval", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"#stored", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.country_code    ;  true   ; Get Country Code            ;        {} ;   regex  ; ^DE$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"Stadtbergen", "address.country":"#stored", "address.country_code":"#retval", "address.house_number":"#stored", "address.postcode":"86391", "address.postcode_city":"#stored", "address.state":"Bayern", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"09772202"} ; location.ags ; {"location.ags":"09772202"} ; de_DE
 address  ; address.house_number    ;  false  ; Get House Number            ;        {} ;   regex  ; ^\d+[A-Ha-h]?$ ; {} ; None ; {} ; de_DE
 address  ; address.house_number    ;  true   ; Get House Number            ;        {} ;   regex  ; ^\d+[A-Ha-h]?$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#retval", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"#stored", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.house_number    ;  true   ; Get House Number            ;        {} ;   regex  ; ^\d+[A-Ha-h]?$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"Neuensalz", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#retval", "address.postcode":"08541", "address.postcode_city":"#stored", "address.state":"Sachsen", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"14523270"} ; location.ags ; {"location.ags":"14523270"} ; de_DE
 address  ; address.postcode        ;  false  ; Get Postcode                ;        {} ;   regex  ; ^\d{5}$ ; {} ; None ; {} ; de_DE
 address  ; address.postcode        ;  true   ; Get Postcode                ;        {} ;   regex  ; ^\d{5}$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#stored", "address.postcode":"#retval", "address.postcode_city":"#stored", "address.state":"#stored", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.postcode        ;  true   ; Get Postcode                ;        {} ;   regex  ; ^56865$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#stored", "address.postcode":"#retval", "address.postcode_city":"#stored", "address.state":"Rheinland-Pfalz", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"07135070"} ; location.ags ; {"location.ags":"07135070"} ; de_DE
 address  ; address.postcode_city   ;  false  ; Get Postcode And City       ;        {} ;   regex  ; ^\d{5}\s.+$ ; {} ; None ; {} ; de_DE
 address  ; address.postcode_city   ;  true   ; Get Postcode And City       ;        {} ;   regex  ; ^\d{5}\s.+$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#retval", "address.state":"#stored", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.postcode_city   ;  true   ; Get Postcode And City       ;        {} ;   regex  ; ^85445 Oberding.*$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"Oberding", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#stored", "address.postcode":"85445", "address.postcode_city":"#retval", "address.state":"Bayern", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"09177133"} ; location.ags ; {"location.ags":"09177133"} ; de_DE
 address  ; address.state           ;  false  ; Get State                   ;        {} ;   regex  ; ^\S.+$ ; {} ; None ; {} ; de_DE
 address  ; address.state           ;  true   ; Get State                   ;        {} ;   regex  ; ^\S.+$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"#retval", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.state           ;  true   ; Get State                   ;        {} ;   regex  ; ^Bayern$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"Langenfeld", "address.country":"#stored", "address.country_code":"DE", "address.house_number":"#stored", "address.postcode":"91474", "address.postcode_city":"#stored", "address.state":"#retval", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"09575138"} ; location.ags ; {"location.ags":"09575138"} ; de_DE
 address  ; address.street          ;  false  ; Get Street                  ;        {} ;   regex  ; ^\S.+$ ; {} ; None ; {} ; de_DE
 address  ; address.street          ;  true   ; Get Street                  ;        {} ;   regex  ; ^\S.+$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"#stored", "address.street":"#retval", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.street          ;  true   ; Get Street                  ;        {} ;   regex  ; ^\S.+$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"DE", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"55569 Langenthal", "address.state":"Rheinland-Pfalz", "address.street":"#retval", "address.street_address":"#stored", "location.ags":"07133055"} ; location.ags ; {"location.ags":"07133055"} ; de_DE
 address  ; address.street_address  ;  false  ; Get Street And House Number ;        {} ;   regex  ; ^\S.+\s\d+[A-Ha-h]?$ ; {} ; None ; {} ; de_DE
 address  ; address.street_address  ;  true   ; Get Street And House Number ;        {} ;   regex  ; ^\S.+\s\d+[A-Ha-h]?$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"#stored", "address.street":"#stored", "address.street_address":"#retval", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.street_address  ;  true   ; Get Street And House Number ;        {} ;   regex  ; ^\S.+\s\d+[A-Ha-h]?$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#stored", "address.country":"Deutschland", "address.country_code":"DE", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"07751 Bucha", "address.state":"Thüringen", "address.street":"#stored", "address.street_address":"#retval", "location.ags":"16074008"} ; location.ags ; {"location.ags":"16074008"} ; de_DE
 finance  ; finance.bank_name       ;  false  ; Get Bank                    ;        {} ;   regex  ; ^.+$ ; {} ; None ; {} ; de_DE
 finance  ; finance.bank_name       ;  true   ; Get Bank                    ;        {} ;   regex  ; ^.+$ ; {"finance.bank_name":"#retval", "finance.bank_bic":"#stored", "finance.bank_iban":"#stored"} ; None ; {} ; de_DE
 finance  ; finance.bank_bic        ;  false  ; Get Bic                     ;        {} ;   regex  ; ^[A-Z0-9]{4}DE([01][A-NP-Z]|[A-Z2-9][A-NP-Z0-9])([X]{3}|[A-WYZ0-9][A-Z0-9]{2})?$ ; {} ; None ; {} ; de_DE
 finance  ; finance.bank_bic        ;  true   ; Get Bic                     ;        {} ;   regex  ; ^[A-Z0-9]{4}DE([01][A-NP-Z]|[A-Z2-9][A-NP-Z0-9])([X]{3}|[A-WYZ0-9][A-Z0-9]{2})?$ ; {"finance.bank_name":"#stored", "finance.bank_bic":"#retval", "finance.bank_iban":"#stored"} ; None ; {} ; de_DE
 finance  ; finance.bank_iban       ;  false  ; Get Iban                    ;        {} ;   regex  ; ^DE[0-9]{20}$ ; {} ; None ; {} ; de_DE
 finance  ; finance.bank_iban       ;  true   ; Get Iban                    ;        {} ;   regex  ; ^DE[0-9]{20}$ ; {"finance.bank_name":"#stored", "finance.bank_bic":"#stored", "finance.bank_iban":"#retval"} ; None ; {} ; de_DE
 person   ; person.first_name       ;  false  ; Get First Name              ;        {} ;   regex  ; ^\S[^\d]+$ ; {} ; None ; {} ; de_DE
 person   ; person.first_name       ;  true   ; Get First Name              ;        {} ;   regex  ; ^\S[^\d]+$ ; {"person.first_name":"#retval"} ; None ; {} ; de_DE
 person   ; person.last_name        ;  false  ; Get Last Name               ;        {} ;   regex  ; ^\S[^\d]+$ ; {} ; None ; {} ; de_DE
 person   ; person.last_name        ;  true   ; Get Last Name               ;        {} ;   regex  ; ^\S[^\d]+$ ; {"person.last_name":"#retval"} ; None ; {} ; de_DE
 person   ; person.name             ;  false  ; Get Name                    ;        {} ;   regex  ; ^\S[^\d]+\s[^\d]+$ ; {} ; None ; {} ; de_DE
 person   ; person.name             ;  true   ; Get Name                    ;        {} ;   regex  ; ^Oskar Tietjen$ ; {"person.first_name":"Oskar", "person.last_name":"Tietjen", "person.name":"#retval"} ; (person.first_name, person.last_name) ; {"person.first_name":"Oskar", "person.last_name":"Tietjen"} ; de_DE
 person   ; person.name             ;  true   ; Get Name                    ;        {} ;   regex  ; ^Marta\s[^\d]+$ ; {"person.first_name":"Marta", "person.last_name":"#stored", "person.name":"#retval"} ; person.first_name ; {"person.first_name":"Marta"} ; de_DE
 person   ; person.name             ;  true   ; Get Name                    ;        {} ;   regex  ; ^\S[^\d]+\sMair$ ; {"person.first_name":"#stored", "person.last_name":"Mair", "person.name":"#retval"} ; person.last_name ; {"person.last_name":"Mair"} ; de_DE
 person   ; person.name             ;  true   ; Get Name                    ;        {} ;   regex  ; ^\S[^\d]+\s[^\d]+$ ; {"person.first_name":"#stored", "person.last_name":"#stored", "person.name":"#retval"} ; None ; {} ; de_DE
 traffic  ; traffic.license_plate   ;  false  ; Get License Plate           ;        {} ;   regex  ; (?=.{5,10}$)^[A-ZÄÖÜ]{1,3}\s[A-Z]{1,2}\s[1-9]\d{0,3}[EH]?$ ; {} ; None ; {} ; de_DE
 traffic  ; traffic.license_plate   ;  true   ; Get License Plate           ;        {} ;   regex  ; (?=.{5,10}$)^[A-ZÄÖÜ]{1,3}\s[A-Z]{1,2}\s[1-9]\d{0,3}[EH]?$ ; {"traffic.license_plate":"#retval", "location.ags":"#stored"} ; None ; {} ; de_DE
 traffic  ; traffic.license_plate   ;  true   ; Get License Plate           ;        {} ;   regex  ; (?=.{5,10}$)^SÜW\s[A-Z]{1,2}\s[1-9]\d{0,3}[EH]?$ ; {"traffic.license_plate":"#retval", "location.ags":"07337501"} ; location.ags ; {"location.ags":"07337501"} ; de_DE
